"index","station_name","latlng","lat","lng","district"
"0","捷運都會公園站","22.7301,120.32063","22.7301","120.32063","高雄市楠梓區"
"0","民族裕誠路口","22.6649,120.31636","22.6649","120.31636","高雄市三民區"
"0","民族派出所","22.64806,120.31707","22.64806","120.31707","高雄市三民區"
"0","捷運技擊館站","22.62754,120.33421","22.62754","120.33421","高雄市苓雅區"
"0","逢甲路","22.67073,120.48786","22.67073","120.48786","市"
"0","屏東電信局","22.67062,120.48966","22.67062","120.48966","市"
"0","自由路(建華一街口)","22.66687,120.48669","22.66687","120.48669","市"
"0","勞工處","22.66506,120.48213","22.66506","120.48213","市"
"0","自由市場","22.62569,120.35103","22.62569","120.35103","高雄市鳳山區"
"0","大同國小","22.66535,120.47653","22.66535","120.47653","市"
"0","青果社","22.66144,120.46975","22.66144","120.46975","市"
"0","建國路","22.65835,120.46792","22.65835","120.46792","市"
"0","西屏東","22.65452,120.46307","22.65452","120.46307","市"
"0","磚仔窯","22.64215,120.41769","22.64215","120.41769","高雄市大寮區"
"0","鳳屏二路","22.64154,120.4135","22.64154","120.4135","高雄市大寮區"
"0","海邊新田路口","22.61977,120.29211","22.61977","120.29211","高雄市苓雅區"
"0","江山村口","22.64015,120.40512","22.64015","120.40512","高雄市大寮區"
"0","慈惠醫院","22.63868,120.39748","22.63868","120.39748","高雄市大寮區"
"0","高雄客運鳳山站(澄瀾砲台)","22.62454,120.35698","22.62454","120.35698","高雄市鳳山區"
"0","後庄(鳳屏一路)","22.63743,120.39463","22.63743","120.39463","高雄市大寮區"
"0","後庄農會","22.63627,120.39264","22.63627","120.39264","高雄市大寮區"
"0","新光高中(鳳屏一路)","22.63471,120.38987","22.63471","120.38987","高雄市大寮區"
"0","中庄","22.63082,120.38443","22.63082","120.38443","高雄市大寮區"
"0","埤頂","22.62758,120.3791","22.62758","120.3791","高雄市鳳山區"
"0","鳳山轉運站(捷運大東站)","22.6261,120.36337","22.6261","120.36337","高雄市鳳山區"
"0","上埤頂","22.62658,120.37629","22.62658","120.37629","高雄市鳳山區"
"0","中山東路","22.62625,120.37529","22.62625","120.37529","高雄市鳳山區"
"0","捷運鳳山國中站(郵局)","22.62448,120.37142","22.62448","120.37142","高雄市鳳山區"
"0","通益市場","22.62912,120.3539","22.62912","120.3539","高雄市鳳山區"
"0","中山國小(光復路)","22.62925,120.34996","22.62925","120.34996","高雄市鳳山區"
"0","婦幼館","22.62934,120.34776","22.62934","120.34776","高雄市鳳山區"
"0","興達國小","22.87545,120.19624","22.87545","120.19624","高雄市茄萣區"
"0","覺民路口(澄清路)","22.63746,120.34486","22.63746","120.34486","高雄市三民區"
"0","澄清路","22.64267,120.34608","22.64267","120.34608","高雄市三民區"
"0","鳳山龍山寺","22.6217,120.35984","22.6217","120.35984","高雄市鳳山區"
"0","澄清湖棒球場","22.65522,120.36008","22.65522","120.36008","高雄市鳥松區"
"0","鳥松區公所(中正路)","22.65983,120.36414","22.65983","120.36414","高雄市鳥松區"
"0","十九灣","22.67097,120.36138","22.67097","120.36138","高雄市仁武區"
"0","考潭","22.67702,120.35811","22.67702","120.35811","高雄市仁武區"
"0","灣子內(仁武)","22.68232,120.35504","22.68232","120.35504","高雄市仁武區"
"0","新庄(鳳仁路)","22.69291,120.34968","22.69291","120.34968","高雄市仁武區"
"0","八卦寮","22.69603,120.34825","22.69603","120.34825","高雄市仁武區"
"0","通法寺","22.69888,120.34679","22.69888","120.34679","高雄市仁武區"
