,station_name,lat,lng,district
138,大社農會,22.72956,120.34683,P8HW+RPG 台灣高雄市大社區
139,三中路口(三民路),22.73076,120.34332,P8JV+884 台灣高雄市大社區
140,高雄少年法院,22.73096,120.33538,P8JP+95J 台灣高雄市楠梓區
141,楠梓路口,22.72832,120.33032,P8HJ+84G 台灣高雄市楠梓區
142,東門,22.62365,120.36938,J9F9+FQ2 台灣高雄市鳳山區
143,崎漏電信局,22.87458,120.19386,V5FV+RGQ 台灣高雄市茄萣區
144,永豐路口,22.60566,120.33413,J84M+7M6 台灣高雄市前鎮區
145,中一街,22.72077,120.30716,P8C4+8V3 台灣高雄市楠梓區
146,草衙市場,22.57849,120.32236,H8HC+9WX 台灣高雄市前鎮區
147,銘傳路口(九如四路),22.66576,120.28433,M78M+8P4 台灣高雄市鼓山區
148,岡山農工(河華路),22.80128,120.29085,R72R+G89 台灣高雄市岡山區
149,捷運鳳山站,22.62598,120.35614,J9G4+9FR 台灣高雄市鳳山區
150,台上街,22.80493,120.29722,R73W+XVH 台灣高雄市岡山區
151,文山學園,22.64081,120.34879,J8RX+8GF 台灣高雄市鳳山區
152,大埤,22.88042,120.34639,V8JW+5H6 台灣高雄市阿蓮區
153,黃埔四村,22.62233,120.37373,J9CF+WFQ 台灣高雄市鳳山區
154,臺鐵內惟站,22.66575,120.28801,M78Q+862 台灣高雄市鼓山區
155,赤崁東路(新富光),22.74207,120.25348,P7R3+R9H 台灣高雄市梓官區
156,民權路,22.73471,120.34862,P8MX+VCQ 台灣高雄市大社區
157,八德路一(鳳松路口),22.63864,120.3624,J9Q6+FX2 台灣高雄市鳳山區
158,前鋒社區,22.66734,120.28548,M78P+W5Q 台灣高雄市鼓山區
159,舊鐵橋溼地(三和瓦窯),22.663,120.4264,MC7G+5HR 台灣高雄市大樹區
160,大昌醫院,22.65779,120.31989,M859+4X6 台灣高雄市三民區
161,崎漏農會,22.8738,120.19145,V5FR+GHG 台灣高雄市茄萣區
162,五甲三誠路口,22.59221,120.32684,H8RG+VPP 台灣高雄市鳳山區
163,大樹區公所,22.6851,120.41481,MCP7+2WV 台灣高雄市大樹區
164,坔埔,22.65803,120.3848,M95M+6W7 台灣高雄市鳥松區
165,影劇七村,22.62055,120.38138,J9CJ+6H6 台灣高雄市大寮區
166,高碼山莊,22.65821,120.38947,M95Q+7QQ 台灣高雄市鳥松區
167,華美,22.65842,120.39191,M95R+9Q7 台灣高雄市鳥松區
168,仁美國小,22.65798,120.3942,M95V+5MW 台灣高雄市鳥松區
169,井仔腳,22.66837,120.40939,MC95+8QR 台灣高雄市大樹區
170,小坪頂,22.68069,120.40899,MCJ5+7HH 台灣高雄市大樹區
171,龍目,22.68545,120.41644,MCP8+5HP 台灣高雄市大樹區
172,大樹路,22.68713,120.4245,MCPF+VQ5 台灣高雄市大樹區
173,大樹市場,22.68814,120.43236,MCQJ+7W5 台灣高雄市大樹區
174,商協一號,22.61849,120.3838,J99M+9GV 台灣高雄市大寮區
175,大樹分駐所,22.69036,120.43318,MCRM+47V 台灣高雄市大樹區
176,大樹,22.692,120.43246,MCRJ+RX4 台灣高雄市大樹區
177,水管路口(神農路),22.65941,120.37306,M95F+Q67 台灣高雄市鳥松區
178,五甲市場,22.59573,120.33158,H8WJ+7JW 台灣高雄市鳳山區
179,岡山交流道,22.78718,120.31856,Q8P9+VCF 台灣高雄市燕巢區
180,大社中正路(保社里),22.74652,120.35078,P9W2+J82 台灣高雄市大社區
181,吉貝公司,22.73981,120.34851,P8QX+WCC 台灣高雄市大社區
182,中都濕地公園(同盟三路),22.64865,120.2855,J7XP+F59 台灣高雄市三民區
183,經五路,22.72164,120.30185,P8C2+MP5 台灣高雄市楠梓區
184,自強三路口(三多四路),22.61268,120.30098,J872+39H 台灣高雄市苓雅區
185,台貿六村,22.61563,120.38682,J98P+7P4 台灣高雄市大寮區
186,小港行政中心,22.56514,120.3382,H88Q+374 台灣高雄市小港區
187,北汕巷,22.59893,120.27757,H7XH+H2G 台灣高雄市前鎮區
188,鳳源里,22.52464,120.34457,G8FV+VR4 台灣高雄市小港區
189,中山路(中正路口),22.7319,120.34825,P8JX+Q82 台灣高雄市大社區
190,安招里,22.79086,120.33963,Q8RQ+8VR 台灣高雄市燕巢區
191,橋頭地檢署,22.73899,120.30478,P8Q3+HWR 台灣高雄市橋頭區
192,福山國中,22.67932,120.31457,M8H7+PRG 台灣高雄市左營區
193,明善堂(黃埔路),22.62298,120.36562,J9F8+56X 台灣高雄市鳳山區
194,坊崁,22.76147,120.44685,QC6W+HPQ 台灣高雄市大樹區
195,統嶺坑,22.75617,120.44774,QC4X+F39 台灣高雄市大樹區
196,麻竹園,22.74633,120.44707,PCWW+GRP 台灣高雄市大樹區
197,商協二號,22.61389,120.38895,J97Q+HH4 台灣高雄市大寮區
198,大樹農會,22.69094,120.43227,MCRJ+9WC 台灣高雄市大樹區
199,興山里,22.69412,120.42545,MCVG+J5W 台灣高雄市大樹區
200,和山里口,22.69703,120.4205,MCWC+R59 台灣高雄市大樹區
201,山頂崎腳,22.69652,120.4097,MCW5+JV4 台灣高雄市大樹區
202,五叉路口,22.69958,120.40542,MCX4+R5M 台灣高雄市大樹區
203,崎頂,22.7016,120.39617,P92W+JFM 台灣高雄市仁武區
204,清淨寺A(仁林路),22.7011,120.39083,P92R+C8P 台灣高雄市仁武區
205,油庫,22.70115,120.38796,P92Q+F54 台灣高雄市仁武區
206,磚廠,22.69877,120.37962,M9XH+GR5 台灣高雄市仁武區
207,久保祥公司,22.69201,120.37009,M9RC+R24 台灣高雄市仁武區
208,山仔頂,22.61103,120.39241,J96R+CX7 台灣高雄市大寮區
209,東亞漆廠,22.68862,120.36687,M9Q8+CPX 台灣高雄市仁武區
210,忠山藥廠,22.68584,120.36414,M9P7+8MJ 台灣高雄市仁武區
211,埤內巷,22.68262,120.36427,M9M7+2PR 台灣高雄市仁武區
212,天后宮(成功路),22.68146,120.3621,M9J6+HRQ 台灣高雄市仁武區
213,考潭里,22.67938,120.36195,M9H6+QQ4 台灣高雄市仁武區
214,綠園山莊,22.67679,120.36292,M9G7+P57 台灣高雄市仁武區
215,鞏威新村,22.67439,120.36356,M9F7+QC3 台灣高雄市仁武區
216,經三路口,22.72124,120.30614,P8C4+FFR 台灣高雄市楠梓區
217,建工路,22.64834,120.31897,J8X9+8HQ 台灣高雄市三民區
218,西塢食品,22.75037,120.35208,Q922+4RW 台灣高雄市大社區
219,經五開發路口,22.72045,120.30239,P8C2+5XC 台灣高雄市楠梓區
220,輔英科大,22.60847,120.39478,J95V+9WJ 台灣高雄市大寮區
221,明善堂,22.62358,120.36687,J9F8+CPQ 台灣高雄市鳳山區
222,杉林分駐所,22.97439,120.54165,XGFR+QM2 台灣高雄市杉林區
223,大仁路(裕賀牛觀光工廠),22.77018,120.38329,Q9CM+38F 台灣高雄市燕巢區
224,營房(大樹),22.67968,120.42592,MCHG+V9F 台灣高雄市大樹區
225,綠陽山莊,22.67391,120.42588,MCFG+H96 台灣高雄市大樹區
226,竹寮,22.672,120.42602,MCCG+QCR 台灣高雄市大樹區
227,雄獅大地,22.66932,120.42603,MC9G+PCC 台灣高雄市大樹區
228,九大加油站,22.65844,120.42476,MC5F+9WC 台灣高雄市大樹區
229,大樹國中,22.65644,120.42265,MC4F+H3C 台灣高雄市大樹區
230,庄內(九曲北極殿),22.65084,120.42242,MC2C+8XM 台灣高雄市大樹區
231,勵志新城,22.78994,120.29627,Q7QW+XGC 台灣高雄市岡山區
232,九曲路,22.64778,120.4205,JCXC+459 台灣高雄市大樹區
233,建軍路口,22.62866,120.34153,J8HR+FJ6 台灣高雄市鳳山區
234,中正國小,22.63111,120.33441,J8JM+CQV 台灣高雄市苓雅區
235,輔仁路口(建國一路),22.63184,120.332,J8JJ+PQQ 台灣高雄市苓雅區
236,大仁國中,22.63271,120.32932,J8MH+3PP 台灣高雄市苓雅區
237,福德市場,22.6329,120.32734,J8MG+5W8 台灣高雄市苓雅區
238,聖功醫院,22.63269,120.32461,J8MF+3RH 台灣高雄市苓雅區
239,道明中學,22.63311,120.32276,J8MF+64R 台灣高雄市苓雅區
240,凱旋路口,22.63396,120.31908,J8M9+HJP 台灣高雄市三民區
241,建國二路,22.63737,120.31221,J8P6+WVW 台灣高雄市三民區
242,大寮,22.60111,120.39938,J92X+CQR 台灣高雄市大寮區
243,鐵路新村,22.63752,120.30824,J8Q5+275 台灣高雄市三民區
244,南安國小,22.76443,120.24339,Q67V+Q9C 台灣高雄市彌陀區
245,公館(大樹),22.67703,120.42545,MCGG+R58 台灣高雄市大樹區
246,翠屏路口(中山路),22.73165,120.35027,P9J2+M46 台灣高雄市大社區
247,橋頭地方法院(1),22.73876,120.30453,P8Q3+GR2 台灣高雄市橋頭區
248,山明路(北林路),22.5643,120.36472,H977+PVH 台灣高雄市小港區
249,大寮路口,22.59773,120.40063,HCX2+37R 台灣高雄市大寮區
250,油管路口,22.60645,120.35445,J943+HQG 台灣高雄市鳳山區
251,國校前,22.90326,120.18377,W53M+8G2 台灣高雄市茄萣區
252,仕豐路,22.75084,120.30804,Q825+86M 台灣高雄市橋頭區
253,九甲圍,22.74222,120.29439,P7RV+VQJ 台灣高雄市橋頭區
254,甲昌路,22.7388,120.29449,P7QV+GQ9 台灣高雄市橋頭區
255,甲圍國小,22.7361,120.29324,P7PV+C7Q 台灣高雄市橋頭區
