,PlateNumb,StopUID,StopID,StopName,RouteUID,RouteID,RouteName,SubRouteUID,SubRouteID,SubRouteName,Direction,EstimateTime,StopSequence,StopStatus,NextBusTime,Estimates,SrcUpdateTime,UpdateTime
10,,KHH2879,2879,"{'Zh_tw': '建國林森路口', 'En': 'Jianguo Linsen Intersection'}",KHH26,26,"{'Zh_tw': '26A', 'En': '26A'}",KHH26,26,"{'Zh_tw': '26A', 'En': '26A'}",0,,23,1,2021-12-14T20:39:00+08:00,,2021-12-14T20:06:58+08:00,2021-12-14T20:07:07+08:00
11,,KHH2879,2879,"{'Zh_tw': '建國林森路口', 'En': 'Jianguo Linsen Intersection'}",KHH260,260,"{'Zh_tw': '26B', 'En': '26B'}",KHH260,260,"{'Zh_tw': '26B', 'En': '26B'}",0,,22,3,,,2021-12-14T20:06:58+08:00,2021-12-14T20:07:07+08:00
12,088-V3,KHH8536,8536,"{'Zh_tw': '建國林森路口', 'En': 'Jianguo Linsen Intersection'}",KHH28,28,"{'Zh_tw': '28', 'En': '28 '}",KHH28,28,"{'Zh_tw': '28', 'En': '28 '}",1,1560.0,1,0,2021-12-14T20:25:00+08:00,"[{'PlateNumb': '088-V3', 'EstimateTime': 1560, 'IsLastBus': False}, {'PlateNumb': '907-V2', 'EstimateTime': 2520, 'IsLastBus': False}]",2021-12-14T20:06:58+08:00,2021-12-14T20:07:07+08:00
13,,KHH11792,11792,"{'Zh_tw': '建國林森路口', 'En': 'Jianguo Linsen Intersection'}",KHH301,301,"{'Zh_tw': '301', 'En': '301'}",KHH301,301,"{'Zh_tw': '301', 'En': '301'}",1,,1,1,2021-12-14T20:18:00+08:00,,2021-12-14T20:06:58+08:00,2021-12-14T20:07:07+08:00
14,,KHH11792,11792,"{'Zh_tw': '建國林森路口', 'En': 'Jianguo Linsen Intersection'}",KHH3011,3011,"{'Zh_tw': '301區間', 'En': '301(Interval)'}",KHH3011,3011,"{'Zh_tw': '301區間', 'En': '301(Interval)'}",1,,1,1,2021-12-14T20:48:00+08:00,,2021-12-14T20:06:58+08:00,2021-12-14T20:07:07+08:00
15,KKA-9100,KHH2878,2878,"{'Zh_tw': '建國林森路口', 'En': 'Jianguo Linsen Intersection'}",KHH36,36,"{'Zh_tw': '36', 'En': '36'}",KHH36,36,"{'Zh_tw': '36', 'En': '36'}",0,1500.0,29,0,2021-12-14T20:33:00+08:00,"[{'PlateNumb': 'KKA-9100', 'EstimateTime': 1500, 'IsLastBus': False}]",2021-12-14T20:06:58+08:00,2021-12-14T20:07:07+08:00
16,,KHH9311,9311,"{'Zh_tw': '建國林森路口', 'En': 'Jianguo Linsen Intersection'}",KHH52,52,"{'Zh_tw': '52A', 'En': '52A'}",KHH52,52,"{'Zh_tw': '52A', 'En': '52A'}",0,,29,1,2021-12-14T20:43:00+08:00,,2021-12-14T20:06:58+08:00,2021-12-14T20:07:07+08:00
17,,KHH11348,11348,"{'Zh_tw': '建國林森路口', 'En': 'Jianguo Linsen Intersection'}",KHH56,56,"{'Zh_tw': '56', 'En': '56'}",KHH56,56,"{'Zh_tw': '56', 'En': '56'}",1,,14,3,,,2021-12-14T20:06:58+08:00,2021-12-14T20:07:07+08:00
18,873-V2,KHH6487,6487,"{'Zh_tw': '建國林森路口', 'En': 'Jianguo Linsen Intersection'}",KHH60,60,"{'Zh_tw': '60覺民幹線', 'En': '60 Jyuemin Main Line'}",KHH60,60,"{'Zh_tw': '60覺民幹線', 'En': '60 Jyuemin Main Line'}",1,780.0,35,0,2021-12-14T20:25:00+08:00,"[{'PlateNumb': '873-V2', 'EstimateTime': 780, 'IsLastBus': False}, {'PlateNumb': '823-V2', 'EstimateTime': 1980, 'IsLastBus': False}]",2021-12-14T20:06:58+08:00,2021-12-14T20:07:07+08:00
19,715-V2,KHH6487,6487,"{'Zh_tw': '建國林森路口', 'En': 'Jianguo Linsen Intersection'}",KHH6001,6001,"{'Zh_tw': '60覺民幹線區間車', 'En': '60 Jyuemin Main Line(Interval)'}",KHH6001,6001,"{'Zh_tw': '60覺民幹線區間車', 'En': '60 Jyuemin Main Line(Interval)'}",1,300.0,23,0,2021-12-14T20:22:00+08:00,"[{'PlateNumb': '715-V2', 'EstimateTime': 300, 'IsLastBus': False}]",2021-12-14T20:06:58+08:00,2021-12-14T20:07:07+08:00
